No.,Book_id,Book_name
16,,b'\xe6\xa0\x91\xe8\x8e\x93\xe6\xb4\xbePython\xe7\xbc\x96\xe7\xa8\x8b\xe6\x8c\x87\xe5\x8d\x97'
17,,b'\xe7\x94\xa8Python\xe5\x86\x99\xe7\xbd\x91\xe7\xbb\x9c\xe7\x88\xac\xe8\x99\xab'
18,,b'Python\xe8\xaf\xad\xe8\xa8\x80\xe7\xa8\x8b\xe5\xba\x8f\xe8\xae\xbe\xe8\xae\xa1\xef\xbc\x9a\xe8\x8b\xb1\xe6\x96\x87\xe7\x89\x88'
19,,b'\xe7\xb2\xbe\xe9\x80\x9aPython\xe7\x88\xac\xe8\x99\xab\xe6\xa1\x86\xe6\x9e\xb6Scrapy'
20,,b'Python\xe7\xa5\x9e\xe7\xbb\x8f\xe7\xbd\x91\xe7\xbb\x9c\xe7\xbc\x96\xe7\xa8\x8b'
21,,b'\xe7\x89\xa9\xe8\x81\x94\xe7\xbd\x91Python\xe5\xbc\x80\xe5\x8f\x91\xe5\xae\x9e\xe6\x88\x98'
22,,b'Python\xe6\x95\xb0\xe5\xad\x97\xe4\xbf\xa1\xe5\x8f\xb7\xe5\xa4\x84\xe7\x90\x86\xe5\xba\x94\xe7\x94\xa8'
23,,b'\xe8\xb7\x9f\xe8\x80\x81\xe9\xbd\x90\xe5\xad\xa6Python\xef\xbc\x9aDjango\xe5\xae\x9e\xe6\x88\x98'
24,,b'Python\xe7\xa1\xac\xe4\xbb\xb6\xe7\xbc\x96\xe7\xa8\x8b\xe5\xae\x9e\xe6\x88\x98'
25,,b'Python\xe6\xb8\xb8\xe6\x88\x8f\xe7\xbc\x96\xe7\xa8\x8b\xe5\x85\xa5\xe9\x97\xa8'
26,,b'Python\xe6\x9c\xba\xe5\x99\xa8\xe5\xad\xa6\xe4\xb9\xa0\xe5\x9f\xba\xe7\xa1\x80\xe6\x95\x99\xe7\xa8\x8b'
27,,b'\xe7\xa8\x8b\xe5\xba\x8f\xe8\xae\xbe\xe8\xae\xa1\xe5\xaf\xbc\xe8\xae\xba\xef\xbc\x9aPython\xe8\xaf\xad\xe8\xa8\x80\xe5\xae\x9e\xe8\xb7\xb5\xef\xbc\x9aan interdisciplinary approach'
28,,b'\xe2\x80\x9c\xe7\xac\xa8\xe5\x8a\x9e\xe6\xb3\x95\xe2\x80\x9d\xe5\xad\xa6Python 3\xef\xbc\x9aa very simple introduction to the terrifyingly beautiful world of computers and code'
29,,"b'\xe7\xb2\xbe\xe9\x80\x9aPython\xe7\xbd\x91\xe7\xbb\x9c\xe7\x88\xac\xe8\x99\xab\xef\xbc\x9a\xe6\xa0\xb8\xe5\xbf\x83\xe6\x8a\x80\xe6\x9c\xaf\xe3\x80\x81\xe6\xa1\x86\xe6\x9e\xb6\xe4\xb8\x8e\xe9\xa1\xb9\xe7\x9b\xae\xe5\xae\x9e\xe6\x88\x98\xef\xbc\x9acore technology, frame and practices'"
30,,b'Python\xe6\x9c\xba\xe5\x99\xa8\xe5\xad\xa6\xe4\xb9\xa0\xef\xbc\x9a\xe9\xa2\x84\xe6\xb5\x8b\xe5\x88\x86\xe6\x9e\x90\xe6\xa0\xb8\xe5\xbf\x83\xe7\xae\x97\xe6\xb3\x95\xef\xbc\x9aessential techniques for predictive analysis'
31,,b'\xe6\xb7\xb1\xe5\xba\xa6\xe5\xad\xa6\xe4\xb9\xa0\xef\xbc\x9a\xe5\x9f\xba\xe4\xba\x8eKeras\xe7\x9a\x84Python\xe5\xae\x9e\xe8\xb7\xb5'
32,,b'Python 3\xe7\xbd\x91\xe7\xbb\x9c\xe7\x88\xac\xe8\x99\xab\xe5\xbc\x80\xe5\x8f\x91\xe5\xae\x9e\xe6\x88\x98'
33,,b'Python\xe6\x95\xb0\xe6\x8d\xae\xe5\x88\x86\xe6\x9e\x90\xe4\xbb\x8e\xe5\x85\xa5\xe9\x97\xa8\xe5\x88\xb0\xe7\xb2\xbe\xe9\x80\x9a'
34,,b'\xe9\x9b\xb6\xe8\xb5\xb7\xe7\x82\xb9Python\xe5\xa4\xa7\xe6\x95\xb0\xe6\x8d\xae\xe4\xb8\x8e\xe9\x87\x8f\xe5\x8c\x96\xe4\xba\xa4\xe6\x98\x93'
35,,b'\xe5\x88\xa9\xe7\x94\xa8Python\xe5\xbc\x80\xe6\xba\x90\xe5\xb7\xa5\xe5\x85\xb7\xe5\x88\x86\xe6\x9e\x90\xe6\x81\xb6\xe6\x84\x8f\xe4\xbb\xa3\xe7\xa0\x81'
36,,b'\xe7\xbc\x96\xe7\xa8\x8b\xe8\xb6\x85\xe6\x9c\x89\xe8\xb6\xa3\xef\xbc\x9a\xe5\xa5\x87\xe5\xa6\x99Python\xe8\xbd\xbb\xe6\x9d\xbe\xe5\xad\xa6\xef\xbc\x8e\xe7\xac\xac1\xe8\xbe\x91\xef\xbc\x9a\xe8\xb6\x85\xe7\xba\xa7\xe7\xae\x80\xe5\x8d\x95\xe7\x9a\x84\xe5\x9f\xba\xe7\xa1\x80\xe7\x9f\xa5\xe8\xaf\x86'
37,,b'\xe8\xb4\x9d\xe5\x8f\xb6\xe6\x96\xaf\xe6\x80\x9d\xe7\xbb\xb4\xef\xbc\x9a\xe7\xbb\x9f\xe8\xae\xa1\xe5\xbb\xba\xe6\xa8\xa1\xe7\x9a\x84Python\xe5\xad\xa6\xe4\xb9\xa0\xe6\xb3\x95'
38,,"b'Python\xe9\x87\x91\xe8\x9e\x8d\xe8\xa1\x8d\xe7\x94\x9f\xe5\x93\x81\xe5\xa4\xa7\xe6\x95\xb0\xe6\x8d\xae\xe5\x88\x86\xe6\x9e\x90\xef\xbc\x9a\xe5\xbb\xba\xe6\xa8\xa1\xe3\x80\x81\xe6\xa8\xa1\xe6\x8b\x9f\xe3\x80\x81\xe6\xa0\xa1\xe5\x87\x86\xe4\xb8\x8e\xe5\xaf\xb9\xe5\x86\xb2\xef\xbc\x9adata analysis, models, simulation, calibration and hedging'"
39,,b'Python\xe5\xa4\xa7\xe6\x88\x98\xe6\x9c\xba\xe5\x99\xa8\xe5\xad\xa6\xe4\xb9\xa0\xef\xbc\x9a\xe6\x95\xb0\xe6\x8d\xae\xe7\xa7\x91\xe5\xad\xa6\xe5\xae\xb6\xe7\x9a\x84\xe7\xac\xac\xe4\xb8\x80\xe4\xb8\xaa\xe5\xb0\x8f\xe7\x9b\xae\xe6\xa0\x87'
40,,b'\xe9\x87\x8f\xe5\x8c\x96\xe4\xba\xa4\xe6\x98\x93\xe4\xb9\x8b\xe8\xb7\xaf\xef\xbc\x9a\xe7\x94\xa8Python\xe5\x81\x9a\xe8\x82\xa1\xe7\xa5\xa8\xe9\x87\x8f\xe5\x8c\x96\xe5\x88\x86\xe6\x9e\x90'
